date,Open,High,Low,Volume,Close
2000-01-03 00:00:00,0.7848694802121977,0.8419335898578445,0.7610145178077674,535796800,0.8377241492271423
2000-01-04 00:00:00,0.8101274711776825,0.8279013355036092,0.757272805535923,512377600,0.7670955657958984
2000-01-05 00:00:00,0.7764499320665438,0.8274338027890719,0.7708374102148383,778321600,0.7783207893371582
2000-01-06 00:00:00,0.7942245047027412,0.8007724789728964,0.7109660506248474,767972800,0.7109660506248474
2000-01-07 00:00:00,0.7221921978639693,0.7558699303658503,0.7147088179718192,460734400,0.7446439862251282
2000-01-10 00:00:00,0.7633530756515028,0.7652239326620371,0.7090952746983015,505064000,0.7315470576286316
2000-01-11 00:00:00,0.7179827040145028,0.7437084767902888,0.6772893242589362,441548800,0.6941277384757996
2000-01-12 00:00:00,0.7109661585692337,0.71470872231691,0.6473532663278413,976068800,0.6524989604949951
2000-01-13 00:00:00,0.7071071486399376,0.7390305269508232,0.6922568976670791,1032684800,0.7240629196166992
2000-01-14 00:00:00,0.7483853471840719,0.76522375582959,0.7437082307186171,390376000,0.7516593337059021
2000-01-18 00:00:00,0.7558700446415867,0.7932894477667003,0.7516598028608306,459177600,0.7778533101081848
2000-01-19 00:00:00,0.7904820235499649,0.81386925989053,0.7736435611072657,597643200,0.7974985241889954
2000-01-20 00:00:00,0.8643855424895103,0.9092883164214403,0.8494179844856262,1831132800,0.8494179844856262
2000-01-21 00:00:00,0.8550305831713566,0.8550305831713566,0.8246276376964659,495924800,0.8330472707748413
2000-01-24 00:00:00,0.81153068140336,0.8438044262743912,0.7867403146387967,440876800,0.7951599955558777
2000-01-25 00:00:00,0.7858050462150236,0.846611731660713,0.7661603197407627,497145600,0.8400628566741943
2000-01-26 00:00:00,0.8232243882304348,0.8545627329452914,0.8213535809726124,367158400,0.8246275186538696
2000-01-27 00:00:00,0.8143369483357119,0.845676139246523,0.800772522926743,340144000,0.8232243061065674
2000-01-28 00:00:00,0.8096597323998547,0.8297721287545945,0.7530633074706309,423348800,0.7605466842651367
2000-01-31 00:00:00,0.7558698396414428,0.7773853723462769,0.7072245038715651,701680000,0.7764499187469482
2000-02-01 00:00:00,0.7783208384196039,0.7858050673362321,0.7483856713580148,318035200,0.7502564787864685
2000-02-02 00:00:00,0.7539991698895321,0.7642888123197752,0.7259339562067054,464195200,0.7394984364509583
2000-02-03 00:00:00,0.7507241778271836,0.7801925162430204,0.750256451007318,475193600,0.7731760144233704
2000-02-04 00:00:00,0.7778529507517558,0.8232242402284533,0.7755143671597118,425320000,0.8082566857337952
2000-02-07 00:00:00,0.8082567041046165,0.8550303254535702,0.7928213725885681,441067200,0.8536271452903748
2000-02-08 00:00:00,0.8531593763562594,0.8690623838463876,0.832579301727407,408643200,0.8597082495689392
2000-02-09 00:00:00,0.8540950461505381,0.8765468326216084,0.8414660224258554,299364800,0.8428691029548645
2000-02-10 00:00:00,0.8447408162049506,0.8522242454859205,0.8232244332379264,302982400,0.8494179844856262
2000-02-11 00:00:00,0.8503530471748895,0.8540947605347848,0.8101274053305954,212251200,0.8138691186904907
2000-02-14 00:00:00,0.8180786173305026,0.8671916217950338,0.8129337732678228,367539200,0.866723895072937
2000-02-15 00:00:00,0.8625146784120261,0.8975954865759377,0.8620469516226876,485744000,0.8905789852142334
2000-02-16 00:00:00,0.8812238733314441,0.8840309332657064,0.8391273668221861,378246400,0.854094922542572
2000-02-17 00:00:00,0.8620467831383013,0.8643853167076634,0.8466115023460958,289497600,0.8597082495689392
2000-02-18 00:00:00,0.8578376018038734,0.8634501240331609,0.8297724426902497,233441600,0.8325795531272888
2000-02-22 00:00:00,0.8241595931433903,0.8751434470474566,0.798433777884599,422296000,0.85175621509552
2000-02-23 00:00:00,0.8474294545238258,0.8905787113976673,0.830707502524326,473099200,0.8699977397918701
2000-02-24 00:00:00,0.8779503523005946,0.8915148348992914,0.836321500470356,376432000,0.8621638417243958
2000-02-25 00:00:00,0.8592406617560155,0.8756113985901817,0.8241598048180515,249144000,0.8260306119918823
2000-02-28 00:00:00,0.8241596327562816,0.8606435624777148,0.8110628861507592,328328000,0.8475468158721924
2000-02-29 00:00:00,0.8498854252569534,0.8774821009610121,0.8424012981730947,368961600,0.8578373789787292
2000-03-01 00:00:00,0.8873049628426398,0.9883364433879035,0.8868372360716278,1077003200,0.9752396941184998
2000-03-02 00:00:00,0.9504501225642836,0.9574658238999956,0.9032079227462553,311259200,0.9130306839942932
2000-03-03 00:00:00,0.9345463644211701,0.959688004954454,0.8980632727588672,323366400,0.9579336047172546
2000-03-06 00:00:00,0.9429658702455337,0.9663531061650409,0.935481643000083,210560000,0.9406273365020752
2000-03-07 00:00:00,0.9462399569930772,0.9537241850258223,0.9064819814844763,273011200,0.9195787310600281
2000-03-08 00:00:00,0.9195786585849227,0.927530612772893,0.8873049136526702,271230400,0.9130306839942932
2000-03-09 00:00:00,0.9046109491322202,0.935481508578998,0.884966229339261,276718400,0.9149014353752136
2000-03-10 00:00:00,0.9106918289776804,0.9574654861909269,0.9055461371548871,248606400,0.9410947561264038
2000-03-13 00:00:00,0.9139660617143402,0.9467075306773239,0.8943205408469281,303956800,0.9078850150108337
